first,last,job,phone,email,client_id,order_id,order_date,order_week,order_year,item_id,category,subcategory,unit_price,unit_cost,unit_weight,qty,line_number,subtotal,line_subtotal,shipping_price,total_weight,line_price,line_cost,profit
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2023-02-19,7,2023,CDB25978-21-3E,consumables,kitchen supplies,$0.00M,$0.00M,2.66,70,4,$0.01M,$0.01M,$0.00M,186.20000000000002,$0.01M,$0.01M,$0.00M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,DUX14130-38-6U,consumables,kitchen supplies,$0.00M,$0.00M,7.61,671,3,$0.01M,$0.01M,$0.04M,5106.31,$0.05M,$0.04M,$0.01M
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2023-02-27,9,2023,ACU90518-83-2B,consumables,bathroom supplies,$0.00M,$0.00M,10.46,77,5,$0.00M,$0.00M,$0.01M,805.4200000000001,$0.01M,$0.01M,$0.00M
Kimberly,Blair,Geographical information systems officer,477-680-9323x27378,blair.kimberly.6618@nelson.biz,78447,2742071,2023-02-27,9,2023,BMD72525-90-2X,consumables,bathroom supplies,$0.00M,$0.00M,2.6,260,0,$0.12M,$0.12M,$0.00M,676.0,$0.14M,$0.11M,$0.03M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,XDX02308-74-0X,decor,plants,$0.00M,$0.00M,7.05,40,6,$0.01M,$0.01M,$0.00M,282.0,$0.01M,$0.01M,$0.00M
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2023-02-19,7,2023,XED42806-14-3M,consumables,paper products,$0.00M,$0.00M,1.04,36,2,$0.00M,$0.00M,$0.00M,37.44,$0.00M,$0.00M,$0.00M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,UUX03397-27-4C,consumables,misc,$0.00M,$0.00M,6.28,1089,9,$0.12M,$0.12M,$0.05M,6838.92,$0.18M,$0.15M,$0.03M
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2023-02-19,7,2023,CXD77584-10-1E,consumables,paper products,$0.00M,$0.00M,4.08,23,6,$0.01M,$0.01M,$0.00M,93.84,$0.01M,$0.00M,$0.00M
Darius,Stevens,"Physicist, medical",+1-220-240-7019x2774,stevensdarius@rich-leach.net,22122,2173913,2023-02-19,7,2023,ZEM15049-62-0D,decor,plants,$0.00M,$0.00M,5.67,63,5,$0.00M,$0.00M,$0.00M,357.21,$0.01M,$0.00M,$0.00M
Dorothy,Hall,"Journalist, broadcasting",001-338-609-8495x03504,dorothy.per.1343@mitchell-chambers.com,88257,6128929,2023-03-12,10,2023,EED39742-71-4Z,consumables,kitchen supplies,$0.00M,$0.00M,0.78,44,8,$0.00M,$0.00M,$0.00M,34.32,$0.00M,$0.00M,$0.00M
